# MIRAFLORES
# Hora del script: 2022-09-18T23:02:16.433110-06:00
# Actualización del servidor: 2022-09-18T23:53:10.073-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1663322400.0	2022-09-16T04:00:00-06:00	1
5	1663326000.0	2022-09-16T05:00:00-06:00	2
6	1663329600.0	2022-09-16T06:00:00-06:00	2
7	1663333200.0	2022-09-16T07:00:00-06:00	4
8	1663336800.0	2022-09-16T08:00:00-06:00	4
9	1663340400.0	2022-09-16T09:00:00-06:00	6
10	1663344000.0	2022-09-16T10:00:00-06:00	6
11	1663347600.0	2022-09-16T11:00:00-06:00	7
12	1663351200.0	2022-09-16T12:00:00-06:00	5
13	1663354800.0	2022-09-16T13:00:00-06:00	4
14	1663358400.0	2022-09-16T14:00:00-06:00	5
15	1663362000.0	2022-09-16T15:00:00-06:00	4
16	1663365600.0	2022-09-16T16:00:00-06:00	5
17	1663369200.0	2022-09-16T17:00:00-06:00	6
18	1663372800.0	2022-09-16T18:00:00-06:00	7
19	1663376400.0	2022-09-16T19:00:00-06:00	6
20	1663380000.0	2022-09-16T20:00:00-06:00	4
21	1663383600.0	2022-09-16T21:00:00-06:00	2
22	1663387200.0	2022-09-16T22:00:00-06:00	1
#e9ae39f32e43960eae81ed351f65feb5
