# Miraflores
# Hora del script: 2022-11-02T12:02:14.730690-06:00
# Actualización del servidor: 2022-11-02T11:09:02.457-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1667296800.0	2022-11-01T04:00:00-06:00	19
5	1667300400.0	2022-11-01T05:00:00-06:00	33
6	1667304000.0	2022-11-01T06:00:00-06:00	22
7	1667307600.0	2022-11-01T07:00:00-06:00	23
8	1667311200.0	2022-11-01T08:00:00-06:00	27
9	1667314800.0	2022-11-01T09:00:00-06:00	23
10	1667318400.0	2022-11-01T10:00:00-06:00	30
11	1667322000.0	2022-11-01T11:00:00-06:00	31
12	1667325600.0	2022-11-01T12:00:00-06:00	29
13	1667329200.0	2022-11-01T13:00:00-06:00	26
14	1667332800.0	2022-11-01T14:00:00-06:00	23
15	1667336400.0	2022-11-01T15:00:00-06:00	33
16	1667340000.0	2022-11-01T16:00:00-06:00	45
17	1667343600.0	2022-11-01T17:00:00-06:00	54
18	1667347200.0	2022-11-01T18:00:00-06:00	63
19	1667350800.0	2022-11-01T19:00:00-06:00	54
20	1667354400.0	2022-11-01T20:00:00-06:00	38
21	1667358000.0	2022-11-01T21:00:00-06:00	13
22	1667361600.0	2022-11-01T22:00:00-06:00	1
#81ca8c1afd4c4af77d1e07a72c94d954
