# Eskala
# Hora del script: 2022-10-29T12:02:15.277978-06:00
# Actualización del servidor: 2022-10-29T11:36:25.410-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1666951200.0	2022-10-28T04:00:00-06:00	25
5	1666954800.0	2022-10-28T05:00:00-06:00	55
6	1666958400.0	2022-10-28T06:00:00-06:00	53
7	1666962000.0	2022-10-28T07:00:00-06:00	48
8	1666965600.0	2022-10-28T08:00:00-06:00	47
9	1666969200.0	2022-10-28T09:00:00-06:00	42
10	1666972800.0	2022-10-28T10:00:00-06:00	49
11	1666976400.0	2022-10-28T11:00:00-06:00	49
12	1666980000.0	2022-10-28T12:00:00-06:00	41
13	1666983600.0	2022-10-28T13:00:00-06:00	30
14	1666987200.0	2022-10-28T14:00:00-06:00	36
15	1666990800.0	2022-10-28T15:00:00-06:00	51
16	1666994400.0	2022-10-28T16:00:00-06:00	66
17	1666998000.0	2022-10-28T17:00:00-06:00	87
18	1667001600.0	2022-10-28T18:00:00-06:00	87
19	1667005200.0	2022-10-28T19:00:00-06:00	74
20	1667008800.0	2022-10-28T20:00:00-06:00	60
21	1667012400.0	2022-10-28T21:00:00-06:00	18
22	1667016000.0	2022-10-28T22:00:00-06:00	2
#36707902733457e2bd2ed6fec30aa44c
