# MIX San Cristóbal
# Hora del script: 2022-07-15T19:41:34.596703-06:00
# Actualización del servidor: 2022-07-15T19:50:53.584-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1657792800.0	2022-07-14T04:00:00-06:00	20
5	1657796400.0	2022-07-14T05:00:00-06:00	39
6	1657800000.0	2022-07-14T06:00:00-06:00	46
7	1657803600.0	2022-07-14T07:00:00-06:00	39
8	1657807200.0	2022-07-14T08:00:00-06:00	43
9	1657810800.0	2022-07-14T09:00:00-06:00	43
10	1657814400.0	2022-07-14T10:00:00-06:00	47
11	1657818000.0	2022-07-14T11:00:00-06:00	48
12	1657821600.0	2022-07-14T12:00:00-06:00	42
13	1657825200.0	2022-07-14T13:00:00-06:00	38
14	1657828800.0	2022-07-14T14:00:00-06:00	47
15	1657832400.0	2022-07-14T15:00:00-06:00	52
16	1657836000.0	2022-07-14T16:00:00-06:00	76
17	1657839600.0	2022-07-14T17:00:00-06:00	88
18	1657843200.0	2022-07-14T18:00:00-06:00	83
19	1657846800.0	2022-07-14T19:00:00-06:00	72
20	1657850400.0	2022-07-14T20:00:00-06:00	53
21	1657854000.0	2022-07-14T21:00:00-06:00	19
22	1657857600.0	2022-07-14T22:00:00-06:00	1
#bbaeff4c1feb1c59061f4ed5296e7a4a
