# MIX San Cristóbal
# Hora del script: 2022-10-08T12:02:07.837333-06:00
# Actualización del servidor: 2022-10-08T10:54:00.920-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1665136800.0	2022-10-07T04:00:00-06:00	28
5	1665140400.0	2022-10-07T05:00:00-06:00	38
6	1665144000.0	2022-10-07T06:00:00-06:00	40
7	1665147600.0	2022-10-07T07:00:00-06:00	48
8	1665151200.0	2022-10-07T08:00:00-06:00	47
9	1665154800.0	2022-10-07T09:00:00-06:00	44
10	1665158400.0	2022-10-07T10:00:00-06:00	48
11	1665162000.0	2022-10-07T11:00:00-06:00	43
12	1665165600.0	2022-10-07T12:00:00-06:00	44
13	1665169200.0	2022-10-07T13:00:00-06:00	31
14	1665172800.0	2022-10-07T14:00:00-06:00	41
15	1665176400.0	2022-10-07T15:00:00-06:00	51
16	1665180000.0	2022-10-07T16:00:00-06:00	71
17	1665183600.0	2022-10-07T17:00:00-06:00	78
18	1665187200.0	2022-10-07T18:00:00-06:00	78
19	1665190800.0	2022-10-07T19:00:00-06:00	69
20	1665194400.0	2022-10-07T20:00:00-06:00	46
21	1665198000.0	2022-10-07T21:00:00-06:00	19
22	1665201600.0	2022-10-07T22:00:00-06:00	1
#f9c51571912d0b0aca3ccf8f4d819e15
