# Tikal Futura
# Hora del script: 2022-08-26T23:02:09.244172-06:00
# Actualización del servidor: 2022-08-27T01:46:12.576-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1661421600.0	2022-08-25T04:00:00-06:00	38
5	1661425200.0	2022-08-25T05:00:00-06:00	64
6	1661428800.0	2022-08-25T06:00:00-06:00	58
7	1661432400.0	2022-08-25T07:00:00-06:00	47
8	1661436000.0	2022-08-25T08:00:00-06:00	53
9	1661439600.0	2022-08-25T09:00:00-06:00	51
10	1661443200.0	2022-08-25T10:00:00-06:00	57
11	1661446800.0	2022-08-25T11:00:00-06:00	53
12	1661450400.0	2022-08-25T12:00:00-06:00	54
13	1661454000.0	2022-08-25T13:00:00-06:00	47
14	1661457600.0	2022-08-25T14:00:00-06:00	50
15	1661461200.0	2022-08-25T15:00:00-06:00	65
16	1661464800.0	2022-08-25T16:00:00-06:00	78
17	1661468400.0	2022-08-25T17:00:00-06:00	105
18	1661472000.0	2022-08-25T18:00:00-06:00	99
19	1661475600.0	2022-08-25T19:00:00-06:00	78
20	1661479200.0	2022-08-25T20:00:00-06:00	66
21	1661482800.0	2022-08-25T21:00:00-06:00	21
22	1661486400.0	2022-08-25T22:00:00-06:00	1
#61d552ed7ebbb102e3f17c194042100f
